row_num,country,year,disease_name,country_pop,incidence_rate_pct,prevalence_rate_pct,mortality_rate_per_100_people_pct,population_affected,pop_affected_male,pop_affected_female,ages_0_18_pct,ages_19_35_pct,ages_36_60_pct,ages_61_plus_pct,pop_affected_urban_pct,pop_affected_rural_pct,healthcare_access_pct,doctors_per_1000,hospital_beds_per_1000,treatment_type,recovery_rate_pct,dalys,improvement_in_5_years_pct,average_annual_treatment_cost_usd,availability_of_vaccines_treatment,composite_health_index,per_capita_income_usd,education_index,urbanization_rate_pct
25.0,USA,2000.0,Asthma,282162411.0,0.86,17.0,0.0311,2426597.0,1057996.0,1368601.0,24.0,25.0,27.0,24.0,79.0,21.0,82.75,4.4,3.25,Medication,94.12,81.61,,778.0,High,77.02,36417.51,0.87,79.0
26.0,United Kingdom,2010.0,Diabetes,62766365.0,0.92,17.21,0.0185,577451.0,292768.0,284683.0,2.0,15.0,40.0,44.0,81.0,19.0,83.08,4.09,7.93,Medication,75.44,68.19,-36.11,1999.0,Medium,78.28,39448.05,0.9,81.3
27.0,Canada,2001.0,Tuberculosis,31020855.0,0.25,2.42,0.1205,77552.0,45678.0,31874.0,19.0,25.0,32.0,24.0,77.0,23.0,83.73,2.93,8.44,Medication,77.54,11.36,,1569.0,High,78.92,23674.57,0.86,77.2
28.0,Russia,2003.0,Measles,144648618.0,3.59,5.34,0.0896,5192885.0,2606828.0,2586057.0,52.0,20.0,8.0,20.0,73.0,27.0,64.62,1.9,1.15,Medication,83.85,50.0,,31.0,Medium,60.27,2980.64,0.8,73.2
29.0,Mexico,2022.0,Rabies,128613117.0,0.01,0.01,0.8359,12861.0,8643.0,4218.0,16.0,24.0,35.0,25.0,80.0,20.0,70.66,1.15,1.48,Medication,22.52,0.23,18.81,76.0,Medium,64.4,11402.14,0.71,79.6
30.0,United Kingdom,2019.0,Zika,66631000.0,0.0,0.0,0.0303,1694.0,830.0,864.0,19.0,30.0,10.0,41.0,82.0,18.0,84.67,3.37,5.6,Medication,98.61,0.0,-9.11,1191.0,Low,80.24,42487.95,0.92,82.5
31.0,Japan,2002.0,Alzheimer's Disease,127445000.0,,,,,,,,,,,,,88.29,2.97,5.55,Therapy,61.97,0.0,,19151.0,Low,82.44,32810.59,0.82,91.1
32.0,Saudi Arabia,2006.0,Cancer,21459144.0,0.64,11.24,0.2043,137339.0,69906.0,67433.0,3.0,10.0,35.0,53.0,80.0,20.0,66.79,1.24,3.13,Medication,59.63,47.73,-3.72,9241.0,High,67.9,17540.2,0.63,80.5
33.0,Canada,2001.0,Malaria,31020855.0,0.0,0.0,0.0612,521.0,268.0,253.0,34.0,30.0,27.0,9.0,77.0,23.0,83.73,3.69,6.62,Medication,89.17,0.0,,800.0,High,78.92,23674.57,0.86,77.2
34.0,Brazil,2003.0,Parkinson's Disease,180622688.0,,,,,,,,,,,,,59.22,1.73,3.99,Medication,62.25,0.0,,3252.0,Low,58.87,3090.61,0.57,81.8
35.0,Canada,2019.0,COVID-19,37618495.0,2.89,3.22,0.0808,1087175.0,592510.0,494665.0,9.0,25.0,35.0,31.0,80.0,20.0,89.62,3.04,8.13,Medication,85.71,33.63,-14.75,5832.0,,86.27,46151.13,0.9,80.2
36.0,Brazil,2011.0,Parkinson's Disease,195284734.0,,,,,,,,,,,,,65.13,1.35,2.99,Medication,64.39,0.0,-13.96,4166.0,Low,61.06,13396.63,0.62,83.8
37.0,France,2005.0,Diabetes,63180854.0,0.36,6.26,0.0501,227451.0,116682.0,110769.0,3.0,15.0,43.0,40.0,78.0,22.0,81.26,4.38,6.22,Medication,77.64,26.65,39.83,2077.0,High,75.34,34458.38,0.77,77.8
38.0,Turkey,2006.0,Malaria,70045349.0,0.0,0.0,0.1002,2863.0,1532.0,1331.0,38.0,31.0,25.0,6.0,68.0,32.0,60.35,2.31,1.6,Medication,82.3,0.0,0.62,227.0,Medium,62.7,7953.08,0.55,68.0
39.0,Australia,2014.0,HIV/AIDS,23475686.0,0.09,0.69,0.1901,21128.0,11705.0,9423.0,6.0,30.0,39.0,25.0,85.0,15.0,87.61,4.86,3.21,Medication,79.32,3.88,-3.16,2265.0,High,84.06,62047.65,0.91,85.4
40.0,Japan,2022.0,Malaria,125124989.0,0.0,0.0,0.0079,3653.0,1911.0,1742.0,26.0,27.0,33.0,13.0,92.0,8.0,89.5,5.06,8.55,Medication,93.11,0.0,-27.69,1946.0,High,84.24,34051.95,0.85,91.9
41.0,France,2008.0,Tuberculosis,64375116.0,0.25,2.0,0.0902,160938.0,94953.0,65985.0,17.0,25.0,33.0,25.0,78.0,22.0,81.76,3.01,11.46,Medication,77.99,8.17,-17.8,712.0,High,75.87,45136.86,0.78,78.2
42.0,Mexico,2006.0,Dengue,107253666.0,8.74,10.69,0.1424,9373970.0,4677611.0,4696359.0,33.0,36.0,25.0,6.0,75.0,25.0,58.88,2.19,2.59,Medication,85.05,110.02,-2.4,70.0,Low,60.68,9512.64,0.62,74.8
43.0,Indonesia,2000.0,Rabies,216077790.0,0.01,0.01,0.8692,21608.0,14348.0,7260.0,19.0,26.0,35.0,20.0,42.0,58.0,49.31,0.69,0.96,Medication,14.01,0.13,,31.0,Low,52.94,813.14,0.5,42.0
44.0,Turkey,2022.0,Measles,84979913.0,0.35,0.35,0.0,297430.0,153771.0,143659.0,51.0,19.0,8.0,22.0,76.0,24.0,72.73,2.17,2.32,Medication,94.3,3.39,6.98,150.0,High,69.15,10419.65,0.79,76.0
45.0,Germany,2017.0,Cancer,82657002.0,0.95,10.16,0.1338,785242.0,394977.0,390265.0,1.0,7.0,42.0,49.0,77.0,23.0,85.21,4.19,4.17,Surgery,67.03,45.49,-24.89,26867.0,High,80.51,45281.72,0.94,77.2
46.0,Brazil,2003.0,Alzheimer's Disease,180622688.0,,,,,,,,,,,,,59.22,2.41,3.9,Therapy,51.15,0.0,,1604.0,Low,58.87,3090.61,0.57,81.8
47.0,Brazil,2010.0,HIV/AIDS,193701929.0,0.3,2.57,0.3656,581106.0,335879.0,245227.0,13.0,30.0,35.0,22.0,83.0,17.0,64.14,1.8,4.33,Medication,66.72,12.03,-25.62,75.0,Medium,60.44,11403.28,0.61,83.5
48.0,United Kingdom,2003.0,Malaria,59647577.0,0.0,0.0,0.069,1990.0,1019.0,971.0,33.0,30.0,25.0,12.0,80.0,20.0,82.34,2.95,8.87,Medication,88.85,0.0,,831.0,Low,77.76,34344.73,0.83,80.4
49.0,Australia,2009.0,Alzheimer's Disease,21691653.0,,,,,,,,,,,,,86.93,3.63,3.53,Therapy,62.78,0.0,78.72,22347.0,Medium,83.1,46699.79,0.9,84.9
50.0,Saudi Arabia,2023.0,Hypertension,33702731.0,1.4,21.93,0.0381,471838.0,256680.0,215158.0,1.0,8.0,35.0,56.0,85.0,15.0,82.19,1.68,3.17,Medication,83.57,101.97,-5.18,3252.0,Medium,76.07,32093.96,0.8,84.8
51.0,India,2003.0,Alzheimer's Disease,1116803006.0,,,,,,,,,,,,,45.74,0.79,1.5,Medication,50.19,0.0,,916.0,Low,51.75,536.77,0.4,28.1
52.0,Nigeria,2002.0,Measles,133471989.0,3.56,4.59,0.1181,4751603.0,2494592.0,2257011.0,56.0,22.0,9.0,13.0,38.0,62.0,38.58,0.63,0.4,Medication,74.44,37.92,,5.0,Medium,42.07,714.65,0.39,37.5
53.0,China,2022.0,Zika,1412175000.0,0.0,0.0,0.0312,59977.0,30348.0,29629.0,24.0,30.0,10.0,36.0,60.0,40.0,70.42,1.52,2.28,Vaccination,96.88,0.0,18.19,76.0,Medium,66.06,12547.04,0.69,60.2
54.0,Argentina,2015.0,Cholera,43477012.0,0.0,0.0,0.116,1490.0,805.0,685.0,27.0,30.0,25.0,18.0,91.0,9.0,68.44,2.19,2.88,Medication,87.39,0.0,53.15,146.0,Medium,61.98,14833.2,0.85,91.0
55.0,Argentina,2024.0,Cancer,45696159.0,1.0,13.3,0.2622,456962.0,242190.0,214772.0,5.0,9.0,35.0,51.0,92.0,8.0,69.24,2.22,3.08,Surgery,64.29,48.25,-1.49,8716.0,High,60.2,14187.48,0.87,92.0
56.0,Italy,2008.0,Ebola,59211181.0,0.01,0.0,0.4205,3276.0,1687.0,1589.0,6.0,23.0,41.0,31.0,68.0,32.0,81.43,4.79,3.55,Therapy,50.72,0.0,-17.22,14764.0,,75.9,40588.32,0.78,68.2
57.0,Russia,2019.0,Dengue,145453291.0,0.01,0.0,0.1215,7998.0,4215.0,3783.0,29.0,35.0,25.0,11.0,75.0,25.0,70.21,2.39,3.64,Medication,84.63,0.0,-27.9,117.0,Medium,63.0,11554.49,0.85,74.5
58.0,USA,2011.0,Dengue,311839461.0,0.01,0.0,0.0048,20679.0,10546.0,10133.0,26.0,35.0,29.0,10.0,81.0,19.0,82.6,4.02,7.49,Medication,98.43,0.0,-13.99,2049.0,Medium,76.3,49664.06,0.89,80.9
59.0,Argentina,2007.0,Measles,40016763.0,3.66,4.08,0.0104,1464614.0,727913.0,736701.0,53.0,20.0,8.0,19.0,90.0,10.0,63.79,1.33,4.7,Vaccination,89.23,33.34,19.09,33.0,High,58.98,7240.84,0.79,89.9
60.0,Russia,2023.0,Leprosy,143826130.0,0.01,0.0,,9571.0,5877.0,3694.0,8.0,20.0,40.0,32.0,75.0,25.0,71.14,1.38,2.35,Medication,78.91,0.0,9.12,8156.0,Medium,63.42,13809.21,0.85,74.8
61.0,China,2014.0,Polio,1371860000.0,0.0,0.0,0.0493,22400.0,11334.0,11066.0,40.0,20.0,10.0,30.0,51.0,49.0,62.57,2.36,3.36,Vaccination,81.37,0.0,-7.98,8.0,High,63.73,7547.54,0.62,51.4
62.0,Japan,2017.0,Tuberculosis,126972000.0,0.16,1.19,0.0319,203155.0,121893.0,81262.0,13.0,22.0,37.0,27.0,92.0,8.0,91.03,2.97,5.66,Medication,85.7,6.16,-30.42,2137.0,High,86.32,38805.72,0.85,91.7
63.0,Brazil,2013.0,Ebola,198478299.0,0.0,0.0,0.6397,4300.0,2266.0,2034.0,12.0,25.0,35.0,28.0,84.0,16.0,67.64,1.79,3.78,Therapy,45.95,0.0,-4.81,4381.0,,63.05,12458.89,0.67,84.3
64.0,Japan,2005.0,Influenza,127773000.0,11.29,12.7,0.0126,14425572.0,7068530.0,7357042.0,22.0,24.0,35.0,20.0,91.0,9.0,88.92,4.91,9.1,Vaccination,97.32,118.05,27.33,271.0,High,83.34,37771.41,0.83,91.2
65.0,Nigeria,2010.0,Diabetes,166642886.0,0.35,5.01,0.1144,583250.0,312622.0,270628.0,10.0,17.0,42.0,32.0,44.0,56.0,48.34,0.31,1.01,Medication,61.91,22.57,7.05,160.0,Medium,47.9,2248.92,0.42,43.5
66.0,Russia,2008.0,Asthma,142742366.0,0.73,8.18,0.0344,1042019.0,474119.0,567900.0,26.0,25.0,25.0,24.0,74.0,26.0,66.87,1.69,4.94,Medication,83.16,31.85,-19.72,36.0,Medium,61.67,11661.82,0.81,73.6
67.0,Nigeria,2017.0,HIV/AIDS,200254579.0,0.63,4.73,0.4011,1261604.0,738038.0,523566.0,14.0,31.0,37.0,18.0,49.0,51.0,55.84,0.59,0.29,Medication,62.49,22.91,1.15,19.0,Medium,52.42,1876.33,0.5,48.8
68.0,France,2006.0,Ebola,63622342.0,0.0,0.0,0.3717,1080.0,535.0,545.0,8.0,25.0,38.0,30.0,78.0,22.0,82.02,3.21,4.87,Medication,49.6,0.0,-30.74,13226.0,,76.34,36182.58,0.78,77.9
69.0,South Korea,2000.0,Alzheimer's Disease,47008111.0,,,,,,,,,,,,,65.94,2.63,2.76,Therapy,58.28,0.0,,17842.0,Low,68.56,12782.65,0.79,78.0
70.0,Australia,2024.0,Measles,27204809.0,1.88,2.47,0.0083,511450.0,268511.0,242939.0,43.0,20.0,14.0,23.0,86.0,14.0,87.55,2.84,11.48,Vaccination,100.0,20.07,2.42,1651.0,High,83.9,67128.63,0.92,86.0
71.0,South Africa,2017.0,Hepatitis,57635162.0,0.29,2.0,0.1712,167142.0,106804.0,60338.0,6.0,15.0,35.0,44.0,64.0,36.0,61.66,1.84,1.89,Medication,65.56,8.95,-25.84,55.0,Medium,54.25,6612.92,0.73,64.5
72.0,Argentina,2006.0,Measles,39622115.0,4.05,5.94,0.0215,1604696.0,816790.0,787906.0,53.0,21.0,8.0,18.0,90.0,10.0,63.45,1.51,2.62,Medication,89.17,49.43,-30.36,33.0,High,58.94,5915.67,0.79,89.8
73.0,USA,2002.0,Hepatitis,287625193.0,0.39,3.85,0.0933,1121738.0,668556.0,453182.0,4.0,15.0,37.0,44.0,79.0,21.0,82.76,3.41,2.03,Medication,76.9,17.32,,1519.0,High,76.97,38069.33,0.87,79.3
74.0,USA,2012.0,Diabetes,314339099.0,0.29,3.03,0.1144,911583.0,471288.0,440295.0,1.0,15.0,44.0,40.0,81.0,19.0,82.72,3.58,2.46,Medication,78.82,12.37,45.16,2926.0,High,76.44,51255.7,0.9,81.0
75.0,Australia,2017.0,Cholera,24592588.0,0.0,0.0,0.1459,1206.0,655.0,551.0,20.0,30.0,30.0,21.0,86.0,14.0,88.37,4.89,11.13,Medication,98.82,0.0,-8.4,2863.0,Medium,85.12,57085.77,0.91,85.7
76.0,Turkey,2003.0,HIV/AIDS,67831730.0,0.05,0.47,0.2734,33916.0,18993.0,14923.0,14.0,31.0,35.0,21.0,66.0,34.0,57.37,1.48,1.43,Medication,67.86,2.61,,733.0,Low,60.66,4637.88,0.53,66.5
77.0,India,2017.0,Polio,1359657400.0,0.0,0.0,0.1713,67863.0,36985.0,30878.0,44.0,21.0,10.0,25.0,33.0,67.0,62.39,0.57,0.96,Medication,75.83,0.0,-36.32,9.0,Medium,60.09,1930.14,0.54,33.5
78.0,India,2010.0,Ebola,1243481564.0,0.0,0.0,0.7017,43771.0,23593.0,20178.0,15.0,27.0,35.0,24.0,31.0,69.0,54.1,0.19,1.39,Medication,43.72,0.0,-8.94,236.0,None,55.97,1342.7,0.46,30.8
79.0,Turkey,2009.0,Parkinson's Disease,72039206.0,,,,,,,,,,,,,62.6,1.6,2.25,Medication,69.41,0.0,76.72,6184.0,Low,63.9,8960.06,0.58,69.5
80.0,Brazil,2024.0,Diabetes,211998573.0,0.22,3.18,0.0702,466397.0,254186.0,212211.0,5.0,14.0,40.0,41.0,87.0,13.0,72.69,1.18,1.42,Medication,76.73,13.4,-16.06,350.0,High,62.7,10377.59,0.71,87.0
81.0,Saudi Arabia,2013.0,Zika,27624004.0,0.0,0.0,0.0,972.0,471.0,501.0,21.0,30.0,10.0,39.0,82.0,18.0,74.02,2.02,3.79,Medication,96.52,0.0,-18.76,384.0,,72.43,26897.96,0.71,82.3
82.0,Japan,2003.0,Zika,127718000.0,0.01,0.0,0.0091,9365.0,4364.0,5001.0,22.0,29.0,15.0,35.0,91.0,9.0,88.59,3.59,4.72,Medication,97.03,0.0,,658.0,,82.87,35400.01,0.83,91.1
83.0,Mexico,2013.0,Influenza,118343573.0,8.22,10.64,0.0954,9727842.0,4932016.0,4795826.0,27.0,25.0,30.0,18.0,77.0,23.0,64.9,1.22,4.8,Medication,86.33,80.92,30.18,18.0,Medium,63.42,11216.8,0.67,76.9
84.0,Germany,2008.0,Polio,82110097.0,0.01,0.0,0.0681,4389.0,2164.0,2225.0,36.0,18.0,16.0,31.0,76.0,24.0,82.99,4.06,10.54,Medication,87.32,0.0,-30.96,280.0,High,77.93,46957.83,0.92,76.0
85.0,United Kingdom,2001.0,Asthma,59119673.0,0.87,8.84,0.0262,514341.0,224767.0,289574.0,24.0,25.0,25.0,26.0,80.0,20.0,81.49,3.3,4.88,Medication,94.61,47.21,,919.0,Medium,76.62,27829.1,0.81,80.1
86.0,France,2012.0,Polio,65657659.0,0.01,0.0,0.0134,3536.0,1764.0,1772.0,36.0,20.0,14.0,30.0,79.0,21.0,82.02,4.65,5.58,Vaccination,87.08,0.0,-10.85,175.0,High,76.02,40547.69,0.8,78.8
87.0,Italy,2002.0,Hepatitis,57089824.0,0.38,3.48,0.0851,216941.0,130165.0,86776.0,2.0,14.0,39.0,44.0,67.0,33.0,79.3,3.36,6.17,Medication,74.03,16.92,,615.0,High,73.49,22322.05,0.73,67.3
88.0,Russia,2009.0,COVID-19,142785348.0,2.9,3.41,0.2154,4140775.0,2227737.0,1913038.0,16.0,25.0,30.0,29.0,74.0,26.0,66.16,1.17,3.65,Medication,71.83,25.82,65.65,1077.0,,60.53,8581.52,0.8,73.7
89.0,United Kingdom,2008.0,Cancer,61806995.0,0.98,11.5,0.1733,605709.0,301643.0,304066.0,2.0,10.0,35.0,53.0,81.0,19.0,82.77,3.06,6.06,Medication,63.91,50.66,8.28,21449.0,Medium,78.05,47230.71,0.87,81.0
90.0,Nigeria,2003.0,Polio,137202644.0,0.07,0.07,0.1612,96042.0,50326.0,45716.0,46.0,22.0,11.0,21.0,38.0,62.0,39.84,0.52,0.9,Medication,65.4,1.0,,5.0,High,42.85,764.65,0.39,38.3
91.0,Australia,2013.0,Cancer,23128129.0,0.59,10.1,0.1366,136456.0,70275.0,66181.0,1.0,10.0,39.0,50.0,85.0,15.0,87.79,2.73,2.51,Medication,65.29,44.66,-22.38,22109.0,Medium,84.31,66447.48,0.9,85.3
92.0,Canada,2015.0,Cholera,35704498.0,0.0,0.0,0.0007,1509.0,797.0,712.0,20.0,30.0,29.0,21.0,80.0,20.0,88.97,4.74,2.45,Medication,93.86,0.0,77.06,3131.0,Medium,85.56,43281.74,0.9,79.6
93.0,United Kingdom,2023.0,Polio,68492000.0,0.0,0.0,0.0,1794.0,927.0,867.0,33.0,20.0,10.0,37.0,83.0,17.0,82.04,3.74,5.67,Vaccination,90.08,0.0,-20.96,640.0,Medium,76.15,49224.06,0.94,83.0
94.0,South Africa,2001.0,Dengue,47566800.0,0.01,0.0,0.1284,3737.0,1966.0,1771.0,34.0,36.0,25.0,5.0,58.0,42.0,49.77,2.1,4.97,Medication,76.82,0.0,,95.0,Low,48.13,2847.15,0.62,58.4
95.0,USA,2020.0,Influenza,331577720.0,5.62,7.17,0.0191,18634668.0,9615489.0,9019179.0,19.0,25.0,35.0,21.0,82.0,18.0,82.01,4.28,2.73,Medication,99.95,56.37,-40.39,631.0,High,75.2,62910.5,0.92,82.4
96.0,Argentina,2012.0,Malaria,42161721.0,0.0,0.0,0.0954,1613.0,869.0,744.0,37.0,30.0,25.0,8.0,91.0,9.0,66.67,1.37,4.19,Medication,81.8,0.0,36.2,71.0,Medium,60.82,13790.49,0.84,90.6
97.0,Brazil,2021.0,Malaria,209550294.0,0.0,0.0,0.0716,8887.0,5057.0,3830.0,36.0,29.0,25.0,10.0,86.0,14.0,69.37,1.32,4.16,Medication,86.51,0.0,-11.58,112.0,Medium,60.33,7972.54,0.71,86.3
98.0,China,2013.0,Cancer,1363240000.0,0.13,1.83,0.2309,1772212.0,925095.0,847117.0,5.0,10.0,35.0,50.0,50.0,50.0,61.33,1.4,1.23,Medication,58.03,8.23,-9.12,7349.0,Medium,63.07,6940.11,0.61,50.3
99.0,Brazil,2009.0,Rabies,192079951.0,0.0,0.0,0.9079,2812.0,1881.0,931.0,18.0,25.0,35.0,22.0,83.0,17.0,63.21,2.49,4.75,Medication,18.44,0.03,72.1,37.0,Medium,59.89,8678.66,0.61,83.3
100.0,Russia,2012.0,Asthma,143378447.0,0.38,5.99,0.0219,544838.0,246812.0,298026.0,26.0,25.0,25.0,24.0,74.0,26.0,68.15,2.02,3.27,Medication,85.32,21.44,43.68,42.0,High,62.26,15304.44,0.82,74.0
101.0,Brazil,2016.0,Leprosy,203218114.0,0.07,0.34,,142253.0,89335.0,52918.0,12.0,20.0,40.0,29.0,85.0,15.0,68.29,2.38,1.4,Medication,82.4,1.75,28.89,5435.0,Medium,62.21,8836.29,0.68,85.0
102.0,Russia,2021.0,Diabetes,144746762.0,0.94,11.64,0.1176,1360620.0,712965.0,647655.0,4.0,15.0,40.0,41.0,75.0,25.0,69.54,1.74,1.15,Medication,72.2,41.93,1.34,1681.0,Medium,61.88,12640.15,0.85,74.7
103.0,Turkey,2020.0,Parkinson's Disease,83384680.0,,,,,,,,,,,,,70.55,2.27,3.44,Therapy,72.55,0.0,-6.85,10237.0,Low,67.52,8367.11,0.79,75.0
104.0,Mexico,2008.0,Dengue,110374288.0,2.43,2.67,0.1233,2682095.0,1349094.0,1333001.0,33.0,35.0,25.0,7.0,75.0,25.0,60.73,1.41,1.75,Medication,85.97,22.59,2.47,72.0,Medium,61.57,10523.77,0.63,75.4
105.0,Australia,2020.0,Malaria,25649248.0,0.0,0.0,0.0,414.0,222.0,192.0,29.0,30.0,30.0,11.0,86.0,14.0,87.6,4.82,8.41,Medication,97.12,0.0,-13.04,1776.0,High,83.92,55758.83,0.92,86.0
106.0,Australia,2006.0,Hypertension,20450966.0,1.85,27.33,0.0089,378343.0,197873.0,180470.0,1.0,8.0,38.0,53.0,85.0,15.0,86.53,2.6,8.6,Medication,82.65,112.63,-36.05,1651.0,High,82.54,39827.18,0.89,84.6
107.0,Nigeria,2013.0,COVID-19,181049443.0,2.79,3.05,0.2799,5051279.0,2833768.0,2217511.0,20.0,26.0,32.0,22.0,46.0,54.0,52.22,0.39,1.29,Medication,68.79,28.95,-19.71,144.0,None,50.39,2876.54,0.45,45.8
